COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:32 5/30/2020
COMMENT	Folder: C:\$Recycle.Bin\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\$Recycle.Bin\	-HS----	3	0	0	0
FILE	---A---X	4/15/2020 02:50	4/15/2020 02:50	5/30/2020 11:10	150	$IX6NHFQ.exe
FILE	---A---X	4/15/2020 02:50	4/15/2020 02:50	4/15/2020 02:50	524,288	$RFZY863.msi
FILE	---A---X	4/15/2020 03:01	4/15/2020 03:01	4/15/2020 03:01	524,288	$RHS74O9.msi
FILE	---A---X	4/15/2020 03:01	4/15/2020 03:01	5/30/2020 11:10	150	$IHS74O9.msi
FILE	---A---X	4/15/2020 03:01	4/15/2020 03:01	5/30/2020 11:10	150	$IJHW87H.doc
FILE	---A---X	4/15/2020 03:01	4/15/2020 03:01	4/15/2020 03:01	786,432	$RJHW87H.doc
FILE	---A---X	4/15/2020 03:10	4/15/2020 03:10	4/15/2020 03:10	524,288	$RWLBLAG.msi
FILE	---A---X	4/15/2020 03:10	4/15/2020 03:10	5/30/2020 11:10	150	$IP95Z0G.exe
FILE	---A---X	4/15/2020 03:10	4/15/2020 03:10	5/30/2020 11:10	150	$IWLBLAG.msi
FILE	---A---X	4/15/2020 03:10	4/15/2020 03:10	4/17/2020 08:19	262,144	$RP95Z0G.exe
FILE	---A---X	4/15/2020 03:20	4/15/2020 03:20	4/15/2020 03:20	1,048,576	$R5MXA2H.doc
FILE	---A---X	4/15/2020 03:20	4/15/2020 03:20	5/30/2020 11:10	150	$I5MXA2H.doc
FILE	---A---X	4/15/2020 03:20	4/15/2020 03:20	5/30/2020 11:10	150	$I6XL5HD.msi
FILE	---A---X	4/15/2020 03:20	4/15/2020 03:20	4/15/2020 03:20	786,432	$R6XL5HD.msi
FILE	---A---X	4/15/2020 03:31	4/15/2020 03:31	4/15/2020 03:31	786,432	$R16ZZK2.msi
FILE	---A---X	4/15/2020 03:31	4/15/2020 03:31	5/30/2020 11:10	150	$I16ZZK2.msi
FILE	---A---X	4/15/2020 03:31	4/15/2020 03:31	5/30/2020 11:10	150	$I89F2XY.doc
FILE	---A---X	4/15/2020 03:31	4/15/2020 03:31	4/15/2020 03:31	786,432	$R89F2XY.doc
FILE	---A---X	4/15/2020 03:40	4/15/2020 03:40	5/30/2020 11:10	150	$I1TCCXX.dll
FILE	---A---X	4/15/2020 03:40	4/15/2020 03:40	4/15/2020 03:40	262,144	$R1TCCXX.dll
FILE	---A---X	4/15/2020 03:40	4/15/2020 03:40	5/30/2020 11:10	150	$I6AEC23.doc
FILE	---A---X	4/15/2020 03:40	4/15/2020 03:40	4/15/2020 03:40	1,048,576	$R6AEC23.doc
FILE	---A---X	4/15/2020 03:50	4/15/2020 03:50	5/30/2020 11:10	150	$IKLXJKG.doc
FILE	---A---X	4/15/2020 03:50	4/15/2020 03:50	4/15/2020 03:50	524,288	$RFG7VSJ.dll
FILE	---A---X	4/15/2020 03:50	4/15/2020 03:50	4/15/2020 03:50	1,048,576	$RKLXJKG.doc
FILE	---A---X	4/15/2020 03:50	4/15/2020 03:50	5/30/2020 11:10	150	$IFG7VSJ.dll
FILE	---A---X	4/15/2020 04:01	4/15/2020 04:01	4/15/2020 04:01	786,432	$RJPAPNW.doc
FILE	---A---X	4/15/2020 04:01	4/15/2020 04:01	5/30/2020 11:10	150	$IJPAPNW.doc
FILE	---A---X	4/15/2020 04:01	4/15/2020 04:01	5/30/2020 11:10	150	$IL641OM.doc
FILE	---A---X	4/15/2020 04:01	4/15/2020 04:01	4/15/2020 04:01	1,048,576	$RL641OM.doc
FILE	---A----	4/15/2020 04:11	4/15/2020 04:11	4/15/2020 04:11	1,048,576	$R977RWF.pdf
FILE	---A----	4/15/2020 04:11	4/15/2020 04:11	5/30/2020 11:10	150	$I977RWF.pdf
FILE	---A---X	4/15/2020 04:11	4/15/2020 04:11	5/30/2020 11:10	150	$IAIEARB.exe
FILE	---A---X	4/15/2020 04:11	4/15/2020 04:11	4/17/2020 08:19	262,144	$RAIEARB.exe
FILE	---A---X	4/15/2020 04:20	4/15/2020 04:20	4/15/2020 04:20	786,432	$RJ18PN9.msi
FILE	---A---X	4/15/2020 04:20	4/15/2020 04:20	5/30/2020 11:10	150	$IJ18PN9.msi
FILE	---A----	4/15/2020 04:20	4/15/2020 04:20	5/30/2020 11:10	150	$IM412LN.pdf
FILE	---A----	4/15/2020 04:20	4/15/2020 04:20	4/15/2020 04:20	1,048,576	$RM412LN.pdf
FILE	---A---X	4/15/2020 04:31	4/15/2020 04:31	4/15/2020 04:31	524,288	$RJNWS89.msi
FILE	---A---X	4/15/2020 04:31	4/15/2020 04:31	5/30/2020 11:10	150	$I5G45PV.msi
FILE	---A---X	4/15/2020 04:31	4/15/2020 04:31	5/30/2020 11:10	150	$IJNWS89.msi
FILE	---A---X	4/15/2020 04:31	4/15/2020 04:31	4/15/2020 04:31	786,432	$R5G45PV.msi
FILE	---A---X	4/15/2020 04:40	4/15/2020 04:40	4/15/2020 04:40	524,288	$RTKX6D5.dll
FILE	---A---X	4/15/2020 04:40	4/15/2020 04:40	5/30/2020 11:10	150	$ITKX6D5.dll
FILE	---A---X	4/15/2020 04:40	4/15/2020 04:40	5/30/2020 11:10	150	$IWK8BXR.msi
FILE	---A---X	4/15/2020 04:40	4/15/2020 04:40	4/15/2020 04:40	786,432	$RWK8BXR.msi
FILE	---A---X	4/15/2020 04:50	4/15/2020 04:50	5/30/2020 11:28	262,144	$R0CO8MI.exe
FILE	---A---X	4/15/2020 04:50	4/15/2020 04:50	5/30/2020 11:10	150	$I0CO8MI.exe
FILE	---A---X	4/15/2020 04:50	4/15/2020 04:50	5/30/2020 11:10	150	$I8EWXFM.doc
FILE	---A---X	4/15/2020 04:50	4/15/2020 04:50	4/15/2020 04:50	786,432	$R8EWXFM.doc
